flight_number,origin_station_code,destination_station_code,scheduled_departure_date,arrival_delay_group,departure_delay_group,entity,verbatim_text,seat_factor_band,loyalty_program_level,fleet_type_description,fleet_usage,response_group
725,HNX,SFX,2022-09-04,Early & Ontime,Delayed,Domestic,"on our return flight we were asked to choose either a cookie or pretzels, on our outbound flight we were given both, it should have been consistent.",90+,non-elite,B777-200,Mainline,member
5041,DEX,LBX,2022-09-03,Delayed,Early & Ontime,Domestic,"on the other flight, i appreciated the illy coffee.",0 to 70,non-member,CRJ-200,Express,non-member
1901,COX,DEX,2022-09-05,Delayed,Early & Ontime,Domestic,it is a really short flight. they did not even offer us water.,90+,non-elite,A319-100,Mainline,member
1950,IAX,CLX,2022-09-05,Early & Ontime,Early & Ontime,Domestic,flight ran out of cookies and being towards the back of the plane i had to opt for pretzels.,90+,non-elite,B737-900,Mainline,member
220,ORX,HNX,2022-09-05,Early & Ontime,Delayed,Domestic,very impressed with the quality and quantity.,80+,non-elite,B787-10,Mainline,member
383,IAX,SAX,2022-09-05,Early & Ontime,Delayed,Domestic,we never got any food or beverages.,90+,non-member,B737-800,Mainline,non-member
5572,SBX,SFX,2022-09-05,Early & Ontime,Delayed,Domestic,no_comment,90+,premier silver,ERJ-175,Express,member
2110,PIX,DEX,2022-09-05,Early & Ontime,Early & Ontime,Domestic,no_comment,90+,non-elite,B737-900,Mainline,member
2110,PIX,DEX,2022-09-05,Early & Ontime,Early & Ontime,Domestic,no_comment,90+,non-elite,B737-900,Mainline,member
1888,DEX,BDX,2022-09-05,Delayed,Delayed,Domestic,i would like a bottle of water.,70+,non-elite,B737-900,Mainline,member
555,EWX,DFX,2022-09-05,Early & Ontime,Early & Ontime,Domestic,no_comment,80+,non-elite,A319-100,Mainline,member
1223,EWX,SJX,2022-09-05,Early & Ontime,Early & Ontime,Latin,i was charged me so much for a short trip. the options for beverage were coke or water. how cheap this company has became!.,0 to 70,non-elite,B737-800,Mainline,member
1040,AUX,EWX,2022-09-04,Delayed,Early & Ontime,Latin,no_comment,90+,non-elite,B737-900,Mainline,member
2629,PHX,IAX,2022-09-06,Early & Ontime,Early & Ontime,Domestic,please add a diet caffeine free soda such as sprite zero or diet ginger ale. we had breakfast as we were in business. the breakfast was great!.,90+,non-elite,A320-200,Mainline,member
871,SYX,SFX,2022-09-06,Early & Ontime,Delayed,Pacific,no_comment,90+,non-member,B777-300,Mainline,non-member
617,ORX,DCX,2022-09-05,Early & Ontime,Early & Ontime,Domestic,why do not you offer any free snacks?.,90+,premier silver,A320-200,Mainline,member
532,ANX,ORX,2022-09-05,Early & Ontime,Delayed,Domestic,coffee was served very hot…a nice surprise.,80+,non-elite,B737-MAX9,Mainline,member
84,DEX,EWX,2022-09-06,Early & Ontime,Early & Ontime,Atlantic,i think in long 16 hour flight the vegetarian menu should be more elaborate.,90+,non-member,B787-9,Mainline,non-member
427,SLX,EWX,2022-09-06,Delayed,Delayed,Domestic,no_comment,90+,non-elite,A319-100,Mainline,member
1034,PTX,IAX,2022-09-06,Early & Ontime,Early & Ontime,Latin,staff very attentive.,90+,non-member,B737-900,Mainline,non-member
48,FRX,IAX,2022-09-07,Early & Ontime,Delayed,Atlantic,bring back the continental ice cream service please!!!!!.,0 to 70,global services,B777-200,Mainline,member
1546,DEX,LGX,2022-09-07,Delayed,Delayed,Domestic,the flight attendant was hard working and friendly!.,90+,non-elite,A320-200,Mainline,member
1181,SAX,DEX,2022-09-07,Early & Ontime,Early & Ontime,Domestic,nothing more.,0 to 70,non-member,B737-800,Mainline,non-member
2104,PDX,ORX,2022-09-07,Early & Ontime,Early & Ontime,Domestic,the food was too spicy.,90+,premier gold,A319-100,Mainline,member
936,LHX,LAX,2022-09-07,Delayed,Early & Ontime,Atlantic,offering a whole piece of fruit would have been nice.,0 to 70,non-elite,B787-9,Mainline,member
1790,TPX,LAX,2022-09-07,Early & Ontime,Delayed,Domestic,should give out bottles of water vs cups on a long flight.,80+,premier silver,A320-200,Mainline,member
2147,LAX,DEX,2022-09-07,Early & Ontime,Early & Ontime,Domestic,all complimentary items must be given to everyone without asking the passengers.,0 to 70,non-elite,B737-800,Mainline,member
2308,DEX,LIX,2022-09-07,Early & Ontime,Early & Ontime,Domestic,great.,70+,non-elite,B757-200,Mainline,member
4386,MHX,EWX,2022-09-07,Delayed,Delayed,Domestic,could use a bit of freshening up the food selection in first class.,80+,non-elite,CRJ-550,Express,member
5360,JAX,DEX,2022-09-02,Early & Ontime,Early & Ontime,Domestic,"loved the flavored aha sparkling water. thank you!. since you took peanuts away, a gluten free pretzel or option would be amazing.",90+,non-elite,ERJ-175,Express,member
390,EWX,DEX,2022-09-08,Delayed,Delayed,Domestic,"tje brioche cheeseburger is really good, but ketchup and mustard should also be provided.",90+,non-elite,B737-900,Mainline,member
5512,OMX,DEX,2022-09-08,Early & Ontime,Early & Ontime,Domestic,there we are nö snacks like chips/pretzels.,90+,premier 1k,CRJ-200,Express,member
864,SFX,SYX,2022-09-07,Early & Ontime,Delayed,Pacific,"we were fine in business our kids that had flown you business over with us and we could only get premium economy back could get even a glass of water and not one meal of choice that was selected was received and yet they watched the meal they had choice, be handed out all through economy. so they paid more for less service.",90+,non-member,B777-300,Mainline,non-member
1878,IAX,LAX,2022-09-08,Early & Ontime,Early & Ontime,Domestic,nothing else because i am ok with water.,80+,premier silver,B777-200,Mainline,member
1878,IAX,LAX,2022-09-08,Early & Ontime,Early & Ontime,Domestic,i would like to have a change in the menu if possible. i have had the chicken and meatballs many times now.,80+,non-elite,B777-200,Mainline,member
5477,LIX,DEX,2022-09-08,Early & Ontime,Early & Ontime,Domestic,your snacks only cater to the general public. how about have at least one item cater to customer with diabetes.,90+,premier silver,ERJ-175,Express,member
5338,TUX,IAX,2022-09-08,Delayed,Early & Ontime,Domestic,i had my own water because i do not like the taste of dasiana. the size portion is really so small for the price of our tickets.,90+,non-elite,ERJ-175,Express,member
83,EWX,DEX,2022-09-09,Early & Ontime,Delayed,Atlantic,a wine list for business class is somewhat expected. we did not get that on this flight.,80+,premier 1k,B787-9,Mainline,member
2676,IAX,LAX,2022-09-08,Early & Ontime,Early & Ontime,Domestic,coffee was good.,80+,non-elite,B737-900,Mainline,member
1631,SEX,DEX,2022-09-09,Early & Ontime,Early & Ontime,Domestic,the meals aim to be creative but i prefer more traditional meals.,90+,global services,B737-900,Mainline,member
1729,SFX,CLX,2022-09-10,Early & Ontime,Early & Ontime,Domestic,better scotch selection.,90+,non-elite,B737-800,Mainline,member
5351,SDX,IAX,2022-09-07,Delayed,Delayed,Domestic,at least this flight provided pretzels. the one to louisville did not offer anything but a drink.,80+,non-member,ERJ-175,Express,non-member
406,DEX,CLX,2022-09-10,Early & Ontime,Early & Ontime,Domestic,very tasty. nice portion.,90+,non-member,B737-900,Mainline,non-member
1033,EWX,TPX,2022-09-10,Early & Ontime,Delayed,Domestic,it pleases me tremendously that united has added sparkling wine to its beverage list.,80+,premier gold,B737-800,Mainline,member
1033,EWX,TPX,2022-09-10,Early & Ontime,Delayed,Domestic,"it was the only time i saw a flight attendant, that is good.",80+,non-elite,B737-800,Mainline,member
1033,EWX,TPX,2022-09-10,Early & Ontime,Delayed,Domestic,no_comment,80+,premier 1k,B737-800,Mainline,member
2054,IAX,DEX,2022-09-09,Delayed,Early & Ontime,Domestic,please provide healthier snack options - sugar and gluten free on the airplane and in the club.,90+,premier 1k,B737-800,Mainline,member
989,FRX,IAX,2022-09-10,Early & Ontime,Delayed,Atlantic,the only beers available were ultra lite and stella artois. there should be at least one more option.,90+,non-elite,B777-300,Mainline,member
989,FRX,IAX,2022-09-10,Early & Ontime,Delayed,Atlantic,the arrival snack which was a cheeseburger was a little dry and tough. main course meal was good.,90+,premier gold,B777-300,Mainline,member
992,BCX,IAX,2022-09-10,Early & Ontime,Early & Ontime,Atlantic,"i just wish i could you le get more yummy desserts!. i wanted the ice cream. i am vegetarian, not vegan. and the sandwich for the second meal was very boring: bread, cucumber and tomato. no taste at all <😊>.",90+,non-member,B767-400,Mainline,non-member
202,HNX,GUX,2022-09-10,Early & Ontime,Early & Ontime,Pacific,need to change the menu. the food was not to appetizing.,90+,premier silver,B777-300,Mainline,member
925,IAX,LHX,2022-09-10,Delayed,Early & Ontime,Atlantic,breakfast was very small.,80+,non-member,B767-300,Mainline,non-member
1141,IAX,TPX,2022-09-10,Early & Ontime,Early & Ontime,Domestic,no_comment,80+,non-elite,B737-900,Mainline,member
683,EWX,SFX,2022-09-10,Early & Ontime,Early & Ontime,Domestic,more options.,80+,premier silver,B777-300,Mainline,member
339,BTX,IAX,2022-09-10,Early & Ontime,Early & Ontime,Domestic,first class and there are no snack boxes available ?. come on!. give us a box please.,80+,premier platinum,A320-200,Mainline,member
934,FRX,IAX,2022-09-10,Delayed,Delayed,Atlantic,"loved my gluten-free meal option, but there are no gluten free snacks available. miss having a gluten-free nut option. ( husband ate my biscoff).",90+,non-member,B777-200,Mainline,non-member
934,FRX,IAX,2022-09-10,Delayed,Delayed,Atlantic,no_comment,90+,non-member,B777-200,Mainline,non-member
712,EWX,FLX,2022-09-10,Early & Ontime,Early & Ontime,Domestic,no_comment,0 to 70,non-elite,A320-200,Mainline,member
57,CDX,EWX,2022-09-11,Early & Ontime,Delayed,Atlantic,i would just like to be reimbursed for the extra expense of buying new connecting tickets on to sardinia.,90+,non-elite,B777-300,Mainline,member
57,CDX,EWX,2022-09-11,Early & Ontime,Delayed,Atlantic,pleasantly surprised by the quality and diversity of choices.,90+,premier gold,B777-300,Mainline,member
83,EWX,DEX,2022-09-11,Delayed,Early & Ontime,Atlantic,you need some non indian options also. not everyone wants indian food especially when you are headed there for a two week business trip and all you will be eating is indian food. please give us some other options for dinner and breakfast.,70+,premier 1k,B787-9,Mainline,member
2650,ORX,LAX,2022-09-11,Early & Ontime,Delayed,Domestic,"had pre ordered drinks. attendant had no record of pre order. when i inquired about white wine, only choice was chardonnay. then requested vodka. vodka brand served was not the best. my husband's jack daniels was what he had requested so that was fine.",90+,non-elite,B757-300,Mainline,member
17,EWX,LHX,2022-09-11,Delayed,Early & Ontime,Atlantic,water bottles are too small. a larger size could be offered.,90+,non-elite,B767-300,Mainline,member
972,FCX,ORX,2022-09-11,Delayed,Delayed,Atlantic,snack was better than the dinner.,90+,premier 1k,B787-8,Mainline,member
4398,ORX,GRX,2022-09-11,Early & Ontime,Delayed,Domestic,there was so much turbulence. no drinks were offered.,80+,non-member,CRJ-550,Express,non-member
1129,SFX,EWX,2022-09-11,Delayed,Early & Ontime,Domestic,please provide light snack.,90+,non-elite,B777-300,Mainline,member
6161,LGX,IAX,2022-09-11,Early & Ontime,Delayed,Domestic,no_comment,90+,non-elite,ERJ-175,Express,member
64,GRX,IAX,2022-09-11,Early & Ontime,Early & Ontime,Latin,dinner not that tasty... breakfast should have a savory bread option or similar.,80+,non-elite,B787-9,Mainline,member
2028,MSX,EWX,2022-09-07,Delayed,Early & Ontime,Domestic,no_comment,90+,non-elite,A319-100,Mainline,member
1759,DEX,KOX,2022-09-12,Delayed,Delayed,Domestic,would like ice and lemonade.,90+,non-member,B757-200,Mainline,non-member
2175,YYX,ORX,2022-09-12,Early & Ontime,Early & Ontime,Domestic,i would have expected a 2nd service of beverages given the duration of the flight.,90+,premier silver,A319-100,Mainline,member
1547,SFX,EWX,2022-09-12,Early & Ontime,Early & Ontime,Domestic,"you only have one sugar free soda, and that with caffeine. i think you could do better. how about one sugar free caffeine free offering?. all snacks loaded with sugar. how about some pretzels or something not so loaded with sugar?.",90+,premier gold,B777-300,Mainline,member
2243,ORX,LAX,2022-09-12,Early & Ontime,Early & Ontime,Domestic,i think it is excellent that you continue to provide biscoff cookies and stroopwafels. truly an experience of decadence in an otherwise humdrum world.,90+,non-member,B757-300,Mainline,non-member
2625,LGX,DEX,2022-09-12,Early & Ontime,Early & Ontime,Domestic,beverage selection was ok.,90+,non-elite,B737-800,Mainline,member
301,SFX,HNX,2022-09-12,Early & Ontime,Delayed,Domestic,"it would be nice if you offered other diet options other than just diet coke, like diet 7up or sprite. the quality of food in business class has always been lacking. i had connected from a flight from europe on turkish airlines. the quality of food was like comparing a 5 star restaurant to mcdonalds. no matter what the comments, i highly doubt that united will get on par with the best airlines in the food quality in business class as i have heard the same thing from other travelers for many years. united obviously does not consider this to be a priority, whereas they absolutely should.",90+,non-elite,B777-200,Mainline,member
998,ACX,IAX,2022-09-12,Early & Ontime,Early & Ontime,Atlantic,no_comment,90+,non-elite,B787-8,Mainline,member
3800,MBX,ORX,2022-09-11,Early & Ontime,Early & Ontime,Domestic,no_comment,90+,premier silver,CRJ-200,Express,member
41,EWX,FCX,2022-09-12,Delayed,Delayed,Atlantic,while the food was hot the menu leaves something to be desired. quinoa is an ingredient that could be replaced with oreo.,90+,non-elite,B777-300,Mainline,member
925,IAX,LHX,2022-09-12,Delayed,Delayed,Atlantic,the pinot noir was kind of a fruit bomb of a wine. did not have more than a couple sips.,90+,premier 1k,B767-300,Mainline,member
1461,DEX,STX,2022-09-13,Delayed,Delayed,Domestic,no_comment,90+,non-member,A320-200,Mainline,non-member
1860,EWX,IAX,2022-09-13,Early & Ontime,Early & Ontime,Domestic,there really was no food or beverage offered in 1st class on this flight—only a glass of water.,90+,non-elite,A320-200,Mainline,member
663,EWX,DFX,2022-09-13,Early & Ontime,Delayed,Domestic,portions too small and pret.,90+,premier silver,A320-200,Mainline,member
5752,SFX,SMX,2022-09-13,Delayed,Early & Ontime,Domestic,too short for service.,90+,non-elite,CRJ-200,Express,member
333,PDX,ORX,2022-09-14,Early & Ontime,Early & Ontime,Domestic,"when getting a soft drink, the flight attendant should always offer the whole can.",90+,non-elite,B737-900,Mainline,member
2401,BOX,SFX,2022-09-14,Early & Ontime,Early & Ontime,Domestic,"it would be good to allow more preorder of the meal items. i tried to preorder shortly after i received the notification, but all of the food items were already sold out. thus, i ended up preordering a tapas snack box, which i then swapped to the burger on board when they had inventory.",80+,premier 1k,B737-MAX9,Mainline,member
3587,EWX,GSX,2022-09-14,Delayed,Delayed,Domestic,on my first flight segment from milan to newark i pre-selected a vegan meal. they provided me a curry dish with chicken in it and a salad with some white creamy dressing. clearly not a vegan meal.,90+,premier 1k,ERJ-170,Express,member
1918,IAX,MEX,2022-09-13,Early & Ontime,Early & Ontime,Domestic,no_comment,0 to 70,non-member,A320-200,Mainline,non-member
5516,GSX,DEX,2022-09-13,Early & Ontime,Early & Ontime,Domestic,"when we first took off the flight attendants told us there were no snacks, the previous employees had failed to refill, but then later on they gave us a choice between strop waffles and pretzels so i think they found some somewhere. i felt bad for the flight attendants for having to deal with that. they were great though!.",90+,non-elite,ERJ-175,Express,member
339,BTX,IAX,2022-09-14,Delayed,Early & Ontime,Domestic,no snack.,0 to 70,non-elite,A320-200,Mainline,member
2602,DEX,RSX,2022-09-15,Early & Ontime,Delayed,Domestic,i wanted to comment on the united club food - eggs and bacon ar very good addition.,90+,premier gold,B737-MAX9,Mainline,member
46,ZRX,SFX,2022-09-15,Delayed,Delayed,Atlantic,"great offer!. meal, snack, water, and so on.",80+,non-member,B777-200,Mainline,non-member
4368,MFX,IAX,2022-09-10,Early & Ontime,Early & Ontime,Domestic,no_comment,90+,non-elite,ERJ-145,Express,member
4503,LGX,IAX,2022-09-15,Early & Ontime,Early & Ontime,Domestic,thank you for carrying buffalo trace!. it is the best bourbon that you can not find in stores around the us.,0 to 70,premier platinum,CRJ-550,Express,member
935,EWX,LHX,2022-09-15,Early & Ontime,Early & Ontime,Atlantic,oatmeal breakfast had a good mix of items.,70+,non-member,B767-300,Mainline,non-member
6,IAX,LHX,2022-09-15,Early & Ontime,Early & Ontime,Atlantic,there was no choice in snacks only pretzels given on both flights. pretzels are too dry and tasteless.,90+,non-elite,B787-9,Mainline,member
2606,SAX,DEX,2022-09-15,Delayed,Early & Ontime,Domestic,why can not bottles be used instead of cans?. i am on a flight with turbulence with a cup full of water and ice. makes no sense.,80+,non-elite,A319-100,Mainline,member
1870,SFX,IAX,2022-09-15,Early & Ontime,Early & Ontime,Domestic,no_comment,90+,premier gold,B777-300,Mainline,member
1430,IAX,EWX,2022-09-16,Early & Ontime,Early & Ontime,Domestic,"not offered water, drink or anything before take off. had to go to section behind to ask for water to take some medicine.",90+,global services,B777-200,Mainline,member
2010,IAX,PIX,2022-09-16,Early & Ontime,Early & Ontime,Domestic,change up the snacks sometimes.,90+,non-member,A319-100,Mainline,non-member
951,IAX,BRX,2022-09-14,Early & Ontime,Delayed,Atlantic,food quality was better before pandemic.,80+,premier 1k,B777-300,Mainline,member
2628,ORX,IAX,2022-09-15,Early & Ontime,Early & Ontime,Domestic,my connecting flight from des moines was on time. everything in o'hare was closing. there was no food available. it would have been nice to have offered the snack boxes for sale but that was not an option for an 8pm flight. did not arrive in iad until midnight and of course everything was closed outside the airport.,70+,premier silver,B737-800,Mainline,member
1970,EWX,SEX,2022-09-16,Early & Ontime,Early & Ontime,Domestic,such a small amount but i get it [amount] you do not want anyone getting drunk on the plane.,80+,non-member,B737-900,Mainline,non-member
1020,CUX,IAX,2022-09-17,Early & Ontime,Early & Ontime,Latin,"no, this flight was very good. wish we could have preordered our meal and had more beverages but the attendants were too busy making meals.",90+,non-elite,B737-900,Mainline,member
318,EWX,DUX,2022-09-16,Early & Ontime,Delayed,Atlantic,meal was not hot or as good wuality of items as the flight from dublin to newark. much better quality on.,90+,non-elite,B757-200,Mainline,member
2047,MCX,EWX,2022-09-17,Early & Ontime,Early & Ontime,Domestic,they are to expensive. $10. for baileys?.,90+,non-elite,B737-900,Mainline,member
886,FCX,IAX,2022-09-17,Early & Ontime,Early & Ontime,Atlantic,"the ability to purchase other snacks was not briefed (or i missed it if it was). given that passengers are told to have an active credit card in their so that onboard snacks can be purchased, this seems odd.",90+,non-elite,B787-8,Mainline,member
886,FCX,IAX,2022-09-17,Early & Ontime,Early & Ontime,Atlantic,why would you serve a barley salad when the chicken came with rice?. too many grains.,90+,non-elite,B787-8,Mainline,member
2376,PHX,ORX,2022-09-16,Early & Ontime,Early & Ontime,Domestic,i wondered why we were not given pretzels/nuts on this flight??.,90+,premier silver,A319-100,Mainline,member
62,MEX,SFX,2022-09-17,Early & Ontime,Delayed,Pacific,i encourage the airline to have a greater variety of higher-end and higher quality food options. united is lacking is this area relative to other major international airlines.,90+,global services,B787-9,Mainline,member
587,DEX,MCX,2022-09-16,Early & Ontime,Early & Ontime,Domestic,"i was surprised that on one of our united flights they provided milk for my son. i was thrilled because that is just about all he will drink and it made my experience much better that there was milk onboard. i also loved being served champagne before we took off, and feel paying for first class was totally worth it just for that!.",80+,non-member,B737-800,Mainline,non-member
697,DEX,FCX,2022-09-17,Early & Ontime,Delayed,Domestic,would have like to been offered a comp snack like pretzels.,80+,non-member,B737-800,Mainline,non-member
697,DEX,FCX,2022-09-17,Early & Ontime,Delayed,Domestic,pretty small portions.,80+,premier silver,B737-800,Mainline,member
2281,LAX,BOX,2022-09-17,Delayed,Early & Ontime,Domestic,no_comment,90+,non-elite,B737-MAX9,Mainline,member
1197,CUX,ORX,2022-09-15,Early & Ontime,Early & Ontime,Latin,we were not offer any food or snacks.,80+,non-member,B737-900,Mainline,non-member
2197,AUX,IAX,2022-09-15,Early & Ontime,Early & Ontime,Domestic,no thank you.,80+,non-elite,B737-800,Mainline,member
305,IAX,JAX,2022-09-18,Early & Ontime,Delayed,Domestic,pretzels tasted a little stale.,90+,premier silver,A319-100,Mainline,member
2000,SFX,DEX,2022-09-14,Early & Ontime,Delayed,Domestic,the fruit in the fruitbowl part of the meal was surprisingly good.,80+,global services,B777-200,Mainline,member
1075,LAX,DEX,2022-09-17,Delayed,Delayed,Domestic,obviously selections have gone downhill.,90+,premier gold,A320-200,Mainline,member
5385,CLX,DEX,2022-09-18,Early & Ontime,Early & Ontime,Domestic,"i think w such long flights, one round of beverages are hurried than never offered again.",90+,premier platinum,ERJ-175,Express,member
965,EWX,NAX,2022-09-18,Early & Ontime,Early & Ontime,Atlantic,should give second chance for beverage.,80+,non-elite,B767-300,Mainline,member
767,SJX,ORX,2022-09-18,Early & Ontime,Early & Ontime,Latin,with 4 hours mid day we could have used something a bit more substantial.,90+,non-member,A320-200,Mainline,non-member
881,IAX,LHX,2022-09-18,Delayed,Delayed,Atlantic,"it was a shame not to have some sort of hot food on the flight. on the outbound there was, but not on the return flight.",90+,non-member,B777-200,Mainline,non-member
6159,TAX,IAX,2022-09-20,Early & Ontime,Early & Ontime,Latin,na.,90+,premier gold,ERJ-175,Express,member
2315,IAX,QRX,2022-09-19,Delayed,Delayed,Latin,some more options would be nice.,90+,non-elite,B737-700,Mainline,member
1979,DEX,CVX,2022-09-20,Early & Ontime,Early & Ontime,Domestic,the unique options made the flight very pleasant.,90+,non-elite,B737-800,Mainline,member
2311,ORX,EWX,2022-09-19,Delayed,Delayed,Domestic,now you have to have the app with a credit card saved. no cash or credit card used. better selection of food would be nice. the price is a little high.,90+,non-elite,B737-800,Mainline,member
1781,SFX,TPX,2022-09-20,Early & Ontime,Early & Ontime,Domestic,"i got the message prior to boarding to save a credit card for food purchases, which i did. however, many other passengers on the flight were not prepared and were complaining about this. i do not think this is the way to go, as it is way too inconvenient for passengers. i recommend bringing back the option to pay with a credit card onboard the aircraft.",90+,non-elite,B737-800,Mainline,member
